PLZ,Ort,Veranstaltung,2025 von bis,2025 Beginn,2025 Ende,2026 von bis,2026 Beginn,2026 Ende
47051,Duisburg,Sommerkirmes,19.07.2025–28.07.2025,19.07.2025,28.07.2025,18.07.2026–27.07.2026,18.07.2026,27.07.2026
45127,Essen,Sommerkirmes,19.07.2025–28.07.2025,19.07.2025,28.07.2025,18.07.2026–27.07.2026,18.07.2026,27.07.2026
44787,Bochum,Sommerkirmes,19.07.2025–28.07.2025,19.07.2025,28.07.2025,18.07.2026–27.07.2026,18.07.2026,27.07.2026
20095,Hamburg,Hamburger Dom (Sommerdom),25.07.2025–24.08.2025,25.07.2025,24.08.2025,24.07.2026–30.08.2026,24.07.2026,30.08.2026
20095,Hamburg,Hamburger Dom (Winterdom),07.11.2025–07.12.2025,07.11.2025,07.12.2025,06.11.2026–06.12.2026,06.11.2026,06.12.2026
20095,Hamburg,Hamburger Dom (Frühlingsdom),22.03.2025–21.04.2025,22.03.2025,21.04.2025,21.03.2026–20.04.2026,21.03.2026,20.04.2026
80331,München,Frühlingsfest,18.04.2025–04.05.2025,18.04.2025,04.05.2025,17.04.2026–03.05.2026,17.04.2026,03.05.2026
44135,Dortmund,Herbstkirmes,03.10.2025–12.10.2025,03.10.2025,12.10.2025,02.10.2026–11.10.2026,02.10.2026,11.10.2026
80331,München,Christkindlmarkt,27.11.2025–24.12.2025,27.11.2025,24.12.2025,26.11.2026–24.12.2026,26.11.2026,24.12.2026
01067,Dresden,Weihnachtsmarkt (Striezelmarkt),27.11.2025–24.12.2025,27.11.2025,24.12.2025,26.11.2026–24.12.2026,26.11.2026,24.12.2026
99084,Erfurt,Weihnachtsmarkt,26.11.2025–22.12.2025,26.11.2025,22.12.2025,25.11.2026–22.12.2026,25.11.2026,22.12.2026
20095,Hamburg,Weihnachtsmarkt,25.11.2025–23.12.2025,25.11.2025,23.12.2025,24.11.2026–23.12.2026,24.11.2026,23.12.2026
60311,Frankfurt am Main,Weihnachtsmarkt,25.11.2025–22.12.2025,25.11.2025,22.12.2025,24.11.2026–22.12.2026,24.11.2026,22.12.2026
70173,Stuttgart,Weihnachtsmarkt,26.11.2025–23.12.2025,26.11.2025,23.12.2025,25.11.2026–23.12.2026,25.11.2026,23.12.2026
PLZ,Ort,Veranstaltung,2025 von bis,2025 Beginn,2025 Ende,2026 von bis,2026 Beginn,2026 Ende
04109,Leipzig,Weihnachtsmarkt,26.11.2025–23.12.2025,26.11.2025,23.12.2025,25.11.2026–23.12.2026,25.11.2026,23.12.2026
28195,Bremen,Weihnachtsmarkt,25.11.2025–23.12.2025,25.11.2025,23.12.2025,24.11.2026–23.12.2026,24.11.2026,23.12.2026
04109,Leipzig,Frühlingsmarkt,28.03.2025–14.04.2025,28.03.2025,14.04.2025,27.03.2026–13.04.2026,27.03.2026,13.04.2026
86150,Augsburg,Herbstplärrer,22.08.2025–07.09.2025,22.08.2025,07.09.2025,21.08.2026–06.09.2026,21.08.2026,06.09.2026
93047,Regensburg,Herbstdult,29.08.2025–15.09.2025,29.08.2025,15.09.2025,28.08.2026–14.09.2026,28.08.2026,14.09.2026
93047,Regensburg,Frühjahrsdult,25.04.2025–11.05.2025,25.04.2025,11.05.2025,24.04.2026–10.05.2026,24.04.2026,10.05.2026
44787,Bochum,Winterkirmes,22.11.2025–30.11.2025,22.11.2025,30.11.2025,21.11.2026–29.11.2026,21.11.2026,29.11.2026
99084,Erfurt,Herbstmesse,16.10.2025–02.11.2025,16.10.2025,02.11.2025,15.10.2026–01.11.2026,15.10.2026,01.11.2026
80331,München,Herbstfest,27.08.2025–07.09.2025,27.08.2025,07.09.2025,26.08.2026–06.09.2026,26.08.2026,06.09.2026
38100,Braunschweig,Herbstmarkt,03.10.2025–12.10.2025,03.10.2025,12.10.2025,02.10.2026–11.10.2026,02.10.2026,11.10.2026
28195,Bremen,Frühlingswiese,21.03.2025–06.04.2025,21.03.2025,06.04.2025,20.03.2026–05.04.2026,20.03.2026,05.04.2026
59423,Unna,Herbstkirmes,17.10.2025–25.10.2025,17.10.2025,25.10.2025,16.10.2026–24.10.2026,16.10.2026,24.10.2026
44787,Bochum,Sommernachtskirmes,12.07.2025–21.07.2025,12.07.2025,21.07.2025,11.07.2026–20.07.2026,11.07.2026,20.07.2026
49808,Lingen,Kirmes,03.10.2025–12.10.2025,03.10.2025,12.10.2025,02.10.2026–11.10.2026,02.10.2026,11.10.2026
59494,Soest,Allerheiligenkirmes,05.11.2025–09.11.2025,05.11.2025,09.11.2025,04.11.2026–08.11.2026,04.11.2026,08.11.2026
35037,Marburg,Elisabethmarkt,13.09.2025–14.09.2025,13.09.2025,14.09.2025,12.09.2026–13.09.2026,12.09.2026,13.09.2026
56068,Koblenz,Rhein in Flammen,10.08.2025–10.08.2025,10.08.2025,10.08.2025,09.08.2026–09.08.2026,09.08.2026,09.08.2026
44787,Bochum,Herbstvolksfest,12.10.2025–19.10.2025,12.10.2025,19.10.2025,11.10.2026–18.10.2026,11.10.2026,18.10.2026
93047,Regensburg,Altstadtfest,13.09.2025–15.09.2025,13.09.2025,15.09.2025,12.09.2026–14.09.2026,12.09.2026,14.09.2026
65185,Wiesbaden,Herbstmarkt,10.10.2025–19.10.2025,10.10.2025,19.10.2025,09.10.2026–18.10.2026,09.10.2026,18.10.2026
